"","country","points","price","province","title","variety","winery"
"523","Argentina",86,10,"Mendoza Province","Santa Julia 2012 [+] Cabernet Sauvignon (Mendoza)","Cabernet Sauvignon","Santa Julia"
"524","US",90,28,"California","Longoria 2006 Chardonnay (Sta. Rita Hills)","Chardonnay","Longoria"
"525","US",93,50,"California","Boekenoogen 2013 Garret's Vineyard Dryland Pinot Noir (Santa Lucia Highlands)","Pinot Noir","Boekenoogen"
"526","France",89,25,"Burgundy","Louis Bouillot 2007 Perle d'Or Brut  (Crémant de Bourgogne)","Champagne Blend","Louis Bouillot"
"527","US",97,250,"California","Alpha Omega 2012 Beckstoffer To Kalon Cabernet Sauvignon (Oakville)","Cabernet Sauvignon","Alpha Omega"
"528","US",89,40,"California","Winery by the Creek 2012 Reserve Avila Vineyard Petite Sirah (Fair Play)","Petite Sirah","Winery by the Creek"
"529","Italy",94,90,"Piedmont","Brovia 2009 Ca' Mia  (Barolo)","Nebbiolo","Brovia"
"530","Austria",85,48,"Kamptal","Jurtschitsch 2006 Schenkenbichl Grüner Veltliner (Kamptal)","Grüner Veltliner","Jurtschitsch"
"531","US",87,19,"Oregon","Hawkins Cellars 2015 Pinot Gris (Willamette Valley)","Pinot Gris","Hawkins Cellars"
"532","US",88,24,"California","Macchia 2011 Rebellious Petite Sirah (Lodi)","Petite Sirah","Macchia"
"533","France",89,27,"Burgundy","Domaine Sangouard-Guyot 2014 Ancestral  (Pouilly-Fuissé)","Chardonnay","Domaine Sangouard-Guyot"
"534","Italy",90,90,"Tuscany","Fattoria dei Barbi 2011 Riserva  (Brunello di Montalcino)","Sangiovese","Fattoria dei Barbi"
"535","US",92,40,"Washington","Va Piano 2011 Cabernet Sauvignon (Columbia Valley (WA))","Cabernet Sauvignon","Va Piano"
"536","US",91,38,"Washington","William Church 2012 Gamache Vineyard Malbec (Columbia Valley (WA))","Malbec","William Church"
"537","Argentina",88,16,"Mendoza Province","Ricardo Santos 2016 Semillon (Mendoza)","Sémillon","Ricardo Santos"
"538","New Zealand",85,25,"Marlborough","Clos Henri 2014 Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Clos Henri"
"539","US",82,18,"California","Rued 2010 Chardonnay (Russian River Valley)","Chardonnay","Rued"
"540","Italy",89,32,"Tuscany","Rascioni e Cecconello 2012 Poggio Ciliegio Ciliegiolo (Toscana)","Ciliegiolo","Rascioni e Cecconello"
"541","US",90,50,"California","Acacia 2000 St. Clair Vineyard Pinot Noir (Carneros)","Pinot Noir","Acacia"
"542","Italy",86,11,"Southern Italy","Rivera 2005 Rupìcolo Red (Castel del Monte)","Red Blend","Rivera"
"543","France",89,24,"Burgundy","Chanson Père et Fils 2011  Marsannay","Pinot Noir","Chanson Père et Fils"
"544","US",89,50,"California","Emblem 2007 Cabernet Sauvignon (Rutherford)","Cabernet Sauvignon","Emblem"
"545","US",84,70,"California","Petroni 2007 Estate Grown Cabernet Sauvignon (Sonoma Valley)","Cabernet Sauvignon","Petroni"
"546","US",88,36,"Oregon","Tyrus Evan 2005 Del Rio Vineyard Syrah (Rogue Valley)","Syrah","Tyrus Evan"
"547","Austria",89,32,"Neusiedlersee","Hannes Reeh 2011 Zweigelt (Neusiedlersee)","Zweigelt","Hannes Reeh"
"548","US",91,36,"California","Cloak & Dagger 2013 The Conspirator's Reserve Syrah (Templeton Gap District)","Syrah","Cloak & Dagger"
"549","Australia",92,65,"South Australia","Angove 2010 Warboys Vineyard Shiraz-Grenache (McLaren Vale)","Shiraz-Grenache","Angove"
"550","US",87,32,"California","M. Autumn 2006 Pinot Noir (Sonoma Coast)","Pinot Noir","M. Autumn"
"551","Portugal",86,14,"Vinho Verde","Quinta da Lixa 2014 Grande Escolha White (Vinho Verde)","Portuguese White","Quinta da Lixa"
"552","US",90,25,"Washington","Tempus Cellars 2007 Syrah (Columbia Valley (WA))","Syrah","Tempus Cellars"
"553","France",86,NA,"Burgundy","Jean-Luc and Paul Aegerter 2016 Belle Canaille  (Bourgogne Hautes Côtes de Nuits)","Pinot Noir","Jean-Luc and Paul Aegerter"
"554","Italy",92,65,"Veneto","Castellani Michele & Figli 2004 Colle Cristi Ca' del Pipa  (Amarone della Valpolicella Classico)","Corvina, Rondinella, Molinara","Castellani Michele & Figli"
"555","Portugal",87,8,"Alentejano","Dão Sul 2013 Monte da Cal Colheita Seleccionada Red (Alentejano)","Portuguese Red","Dão Sul"
"556","France",94,NA,"Southwest France","Alain Brumont 2003 Château Montus Cuvée Prestige Tannat (Madiran)","Tannat","Alain Brumont"
"557","US",88,24,"California","Sculpterra 2013 Héroe Primitivo (Paso Robles)","Primitivo","Sculpterra"
"558","Italy",93,90,"Tuscany","Donatella Cinelli Colombini 2005 Riserva  (Brunello di Montalcino)","Sangiovese Grosso","Donatella Cinelli Colombini"
"559","US",82,NA,"California","Glen Ellen 2000 Proprietor's Reserve Gamay (Sonoma)","Gamay","Glen Ellen"
"560","France",94,30,"Alsace","Domaine Fernand Engel 2014 Praelatenberg Grand Cru Riesling (Alsace)","Riesling","Domaine Fernand Engel"
"561","US",90,25,"California","Artesa 2015 Pinot Noir (Los Carneros)","Pinot Noir","Artesa"
"562","US",88,15,"Oregon","Illahe 2012 Estate Pinot Gris (Willamette Valley)","Pinot Gris","Illahe"
"563","New Zealand",85,16,"Marlborough","Hunky Dory 2016 Made With Organic Grapes Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Hunky Dory"
"564","Chile",87,10,"Colchagua Valley","Chilensis 2012 Reserva Cabernet Sauvignon (Colchagua Valley)","Cabernet Sauvignon","Chilensis"
"565","France",89,22,"Southwest France","Cave du Marmandais 2012 Confidential Red (Côtes du Marmandais)","Red Blend","Cave du Marmandais"
"566","Georgia",88,30,"Kakheti","Our Wine 2015 Vineyard Akhoebi Saperavi (Kakheti)","Saperavi","Our Wine"
"567","France",93,95,"Burgundy","Bouchard Père & Fils 2006 Rugiens Premier Cru  (Pommard)","Pinot Noir","Bouchard Père & Fils"
"568","Italy",90,60,"Sicily & Sardinia","Tasca d'Almerita 2009 Tenuta Regaleali Chardonnay (Sicilia)","Chardonnay","Tasca d'Almerita"
"569","Portugal",86,16,"Minho","Quinta de Covela 2013 Covela Rosé (Minho)","Rosé","Quinta de Covela"
"570","US",90,20,"California","Donati 2010 Pinot Blanc (Paicines)","Pinot Blanc","Donati"
"571","Italy",87,15,"Southern Italy","Cantina Sociale Cooperativa di Copertino 2001 Riserva Negroamaro (Copertino)","Negroamaro","Cantina Sociale Cooperativa di Copertino"
"572","Portugal",91,26,"Alentejano","Casa Santa Vitória 2014 Grande Reserva Tinto Red (Alentejano)","Portuguese Red","Casa Santa Vitória"
"573","US",87,58,"California","Twisted Twig 2011 Sommelier Quality Fifty-Fifty Red (El Dorado County)","Red Blend","Twisted Twig"
"574","Italy",89,38,"Northeastern Italy","Stroblhof 2012 Pigeno Pinot Nero (Alto Adige)","Pinot Nero","Stroblhof"
"575","US",90,13,"California","Tangent 2014 Paragon Vineyard Sauvignon Blanc (Edna Valley)","Sauvignon Blanc","Tangent"
"576","US",93,38,"California","Sanford 2007 La Rinconada Vineyard Chardonnay (Sta. Rita Hills)","Chardonnay","Sanford"
"577","France",89,40,"Bordeaux","Château de Bel-Air 2005  Lalande de Pomerol","Bordeaux-style Red Blend","Château de Bel-Air"
"578","US",93,225,"California","Frank Family 2012 Winston Hill Vineyard Patriarch Cabernet Sauvignon (Rutherford)","Cabernet Sauvignon","Frank Family"
"579","US",91,38,"Washington","Fielding Hills 2014 Estate Riverbend Vineyard Cabernet Franc (Wahluke Slope)","Cabernet Franc","Fielding Hills"
"580","Italy",90,60,"Tuscany","I Giusti e Zanza 2012 Dulcamara Red (Toscana)","Red Blend","I Giusti e Zanza"
"581","US",91,95,"California","William Hill Estate 2013 Benchmark Red (Napa Valley)","Bordeaux-style Red Blend","William Hill Estate"
"582","Portugal",84,6,"Vinho Verde","Campelo 2014 Casal da Seara White (Vinho Verde)","Portuguese White","Campelo"
"583","France",91,13,"Southwest France","Château Peyros 2005 Tannat-Cabernet (Madiran)","Tannat-Cabernet","Château Peyros"
"584","US",90,55,"Oregon","Willamette Valley Vineyards 2013 Elton Pinot Noir (Eola-Amity Hills)","Pinot Noir","Willamette Valley Vineyards"
"585","Italy",87,17,"Central Italy","Romanelli 2009  Montefalco Rosso","Red Blend","Romanelli"
"586","Argentina",87,17,"Mendoza Province","Viejo Isaias 2013 Roble Clásico Malbec (Mendoza)","Malbec","Viejo Isaias"
"587","US",87,18,"Washington","Three Rivers 2010 Chardonnay (Columbia Valley (WA))","Chardonnay","Three Rivers"
"588","Australia",91,36,"Victoria","Moorooduc 2012 Pinot Noir (Mornington Peninsula)","Pinot Noir","Moorooduc"
"589","US",83,33,"California","Thacher 2007 Controlled Chaos Red (Paso Robles)","Red Blend","Thacher"
"590","Italy",90,55,"Tuscany","Villa I Cipressi 2007  Brunello di Montalcino","Sangiovese Grosso","Villa I Cipressi"
"591","Italy",93,35,"Tuscany","Borgo Scopeto 1998 Misciano - Riserva  (Chianti Classico)","Sangiovese","Borgo Scopeto"
"592","US",90,41,"California","Testarossa 2011 Sierra Madre Vineyard Chardonnay (Santa Maria Valley)","Chardonnay","Testarossa"
"593","Portugal",89,17,"Alentejano","Caves Velhas 2013 Magna Carta Reserva Red (Alentejano)","Portuguese Red","Caves Velhas"
"594","US",83,34,"Arizona","Flying Leap 2013 Mourvèdre (Cochise County)","Mourvèdre","Flying Leap"
"595","US",89,24,"California","Skinner 2015 Viognier (El Dorado)","Viognier","Skinner"
"596","France",88,14,"Bordeaux","Château de Lardiley 2015 Rosé (Bordeaux Rosé)","Rosé","Château de Lardiley"
"597","Austria",91,45,"Wachau","Jäger 2013 Achleiten Smaragd Riesling (Wachau)","Riesling","Jäger"
"598","Croatia",90,17,"Istria","Benvenuti 2012 Malvasia Istriana (Istria)","Malvasia Istriana","Benvenuti"
"599","France",87,NA,"Burgundy","Maison Champy 2010  Saint-Romain","Chardonnay","Maison Champy"
"600","US",88,52,"California","Prager 2005 Imogene's Vineyard Tomas Port (Napa Valley)","Port","Prager"
"601","Argentina",87,12,"Mendoza Province","Alfredo Roca 2015 Roca Chenin Blanc-Chardonnay (Mendoza)","Chenin Blanc-Chardonnay","Alfredo Roca"
"602","France",93,65,"Loire Valley","Domaine Vacheron 2014 Le Paradis  (Sancerre)","Sauvignon Blanc","Domaine Vacheron"
"603","France",87,14,"Alsace","Pierre and Charles Sparr 2011 Cuvée Tradition Riesling (Alsace)","Riesling","Pierre and Charles Sparr"
"604","Portugal",86,22,"Tejo","Casa Cadaval 2012 Touriga Nacional (Tejo)","Touriga Nacional","Casa Cadaval"
"605","France",86,19,"Loire Valley","Jean-Michel Sorbe 2016 Rosé (Reuilly)","Rosé","Jean-Michel Sorbe"
"606","US",91,62,"California","Saintsbury 2014 Stanly Ranch Pinot Noir (Carneros)","Pinot Noir","Saintsbury"
"607","US",87,75,"California","Prager NV Noble Companion 10-Year-Old Tawny Port (Napa Valley)","Port","Prager"
"608","US",92,48,"Oregon","Le Cadeau 2009 Côte Est Pinot Noir (Chehalem Mountains)","Pinot Noir","Le Cadeau"
"609","US",90,39,"California","Kutch 2009 Pinot Noir (Anderson Valley)","Pinot Noir","Kutch"
"610","Italy",89,40,"Tuscany","La Colombina 2007  Brunello di Montalcino","Sangiovese Grosso","La Colombina"
"611","France",83,35,"Alsace","Domaine Charles Frey 2013 Harmonie Pinot Noir (Alsace)","Pinot Noir","Domaine Charles Frey"
"612","France",91,27,"Loire Valley","Domaine Amirault 2015 Les Gravilices  (Saint-Nicolas-de-Bourgueil)","Cabernet Franc","Domaine Amirault"
"613","US",88,32,"California","Scott Harvey 2009 Old Vine Reserve Zinfandel (Amador County)","Zinfandel","Scott Harvey"
"614","Italy",90,50,"Tuscany","Baracchi Riccardo 2011 Smeriglio Riserva Syrah (Cortona)","Syrah","Baracchi Riccardo"
"615","France",89,26,"Beaujolais","Domaine de Gry-Sablon 2015 Vieilles Vignes Gamay (Fleurie)","Gamay","Domaine de Gry-Sablon"
"616","Spain",91,50,"Spanish Islands","Ànima Negra 2009 Àn Red (Vi de la Terra Mallorca)","Red Blend","Ànima Negra"
"617","US",88,29,"Washington","Three Rivers 2010 Malbec (Columbia Valley (WA))","Malbec","Three Rivers"
"618","US",88,10,"Washington","Chateau Ste. Michelle 2015 Pinot Gris (Columbia Valley (WA))","Pinot Gris","Chateau Ste. Michelle"
"619","Italy",86,20,"Northeastern Italy","Castel Sallegg 2014 Leisen Sauvignon (Alto Adige)","Sauvignon","Castel Sallegg"
"620","US",93,85,"Washington","Northstar 2010 Premier Merlot (Columbia Valley (WA))","Merlot","Northstar"
"621","Italy",88,17,"Central Italy","Illuminati Dino 2011 Ilico  (Montepulciano d'Abruzzo)","Red Blend","Illuminati Dino"
"622","US",86,75,"California","The Farm Winery 2011 The Big Game Red (Paso Robles)","Red Blend","The Farm Winery"
"623","US",88,26,"Washington","Bunchgrass 2014 Roussanne (Walla Walla Valley (WA))","Roussanne","Bunchgrass"
"624","France",90,50,"Bordeaux","Château Marsau 2014  Francs Côtes de Bordeaux","Merlot","Château Marsau"
"625","Argentina",88,17,"Mendoza Province","Loscano 2013 Capriccio Reserve Blend Red (Mendoza)","Red Blend","Loscano"
"626","Italy",86,29,"Northeastern Italy","Franz Haas 2012 Pinot Grigio (Alto Adige)","Pinot Grigio","Franz Haas"
"627","France",89,28,"Bordeaux","Château Haut-Peyrous 2008 Retour des Palombières  (Graves)","Bordeaux-style Red Blend","Château Haut-Peyrous"
"628","US",86,18,"California","Courtney Benham 2009 Merlot (Napa Valley)","Merlot","Courtney Benham"
"629","Italy",86,35,"Tuscany","Greppi Cupi 2009  Bolgheri","Red Blend","Greppi Cupi"
"630","France",92,80,"Burgundy","Louis Latour 2015 Les Chaillots Premier Cru  (Aloxe-Corton)","Pinot Noir","Louis Latour"
"631","US",85,18,"New York","McGregor 2012 Semi-Dry Riesling (Finger Lakes)","Riesling","McGregor"
"632","France",87,18,"Loire Valley","Caves de la Loire NV Diamant de Loire Cristal Brut Chenin Blanc-Chardonnay (Crémant de Loire)","Chenin Blanc-Chardonnay","Caves de la Loire"
"633","US",89,35,"California","Neyers 2014 Evangelho Vineyard Carignan (Contra Costa County)","Carignan","Neyers"
"634","Italy",90,NA,"Sicily & Sardinia","Valle dell'Acate 2015 Il Frappato Frappato (Vittoria)","Frappato","Valle dell'Acate"
"635","US",87,54,"California","Clos Pepe 2007 Pinot Noir (Sta. Rita Hills)","Pinot Noir","Clos Pepe"
"636","US",86,50,"Oregon","Bomb 2009 Pinot Noir","Pinot Noir","Bomb"
"637","US",90,26,"California","Melville 2010 Estate Chardonnay (Sta. Rita Hills)","Chardonnay","Melville"
"638","US",92,32,"Washington","Eight Bells 2012 8 Clones Red Willow Vineyard Syrah (Yakima Valley)","Syrah","Eight Bells"
"639","Germany",90,32,"Mosel","Maximin Grünhäuser 2011 Herrenberger Kabinett Riesling (Mosel)","Riesling","Maximin Grünhäuser"
"640","Georgia",88,13,"Kakheti","Shumi Winery 2013 Tsinandali White (Kakheti)","White Blend","Shumi Winery"
"641","US",91,NA,"California","Tangent 2012 Paragon Vineyard Sparkling Albariño (Edna Valley)","Albariño","Tangent"
"642","Australia",87,45,"Victoria","Jasper Hill 2007 Cornella Vineyard Grenache (Heathcote)","Grenache","Jasper Hill"
"643","Chile",87,18,"Colchagua Valley","Chilcas 2008 Single Vineyard Cabernet Sauvignon (Colchagua Valley)","Cabernet Sauvignon","Chilcas"
"644","France",91,25,"Provence","Château la Mascaronne 2016 Quat'Saisons Rosé (Côtes de Provence)","Rosé","Château la Mascaronne"
"645","New Zealand",89,23,"Hawke's Bay","Stonecroft 2014 Crofters Gimblett Gravels Syrah (Hawke's Bay)","Syrah","Stonecroft"
"646","Austria",94,50,"Kamptal","Hiedler 2014 Heiligenstein Reserve Riesling (Kamptal)","Riesling","Hiedler"
"647","US",89,25,"California","Sundae wines 2014 Pinot Noir (California)","Pinot Noir","Sundae wines"
"648","US",93,60,"California","Mattina Fiore 2012 Murmur Vineyard Grenache (Santa Maria Valley)","Grenache","Mattina Fiore"
"649","France",90,29,"Southwest France","Château Tour des Gendres 2015 Contine Périgourdine Parcelle Le Jeanneton Muscadelle (Bergerac Sec)","Muscadelle","Château Tour des Gendres"
"650","Spain",88,16,"Northern Spain","Vecordia 2009 Roble  (Ribera del Duero)","Tempranillo","Vecordia"
"651","US",89,16,"Oregon","Brandborg 2007 Pinot Gris (Umpqua Valley)","Pinot Gris","Brandborg"
"652","US",88,17,"New York","Red Newt Cellars 2014 Dry Riesling (Finger Lakes)","Riesling","Red Newt Cellars"
"653","Argentina",91,40,"Mendoza Province","Superuco 2014 Michelini Sammartino Calcáreo Coluvio de Altamira Malbec (Valle de Uco)","Malbec","Superuco"
"654","Argentina",90,20,"Mendoza Province","Mascota 2013 Gran Mascota Cabernet Sauvignon (Mendoza)","Cabernet Sauvignon","Mascota"
"655","Chile",80,32,"Casablanca Valley","Cono Sur 2009 20 Barrels Limited Edition Pinot Noir (Casablanca Valley)","Pinot Noir","Cono Sur"
"656","US",88,21,"California","Chacewater 2012 Syrah (Sierra Foothills)","Syrah","Chacewater"
"657","France",90,52,"Champagne","Gosset NV Grande Réserve Brut  (Champagne)","Champagne Blend","Gosset"
"658","Italy",87,15,"Sicily & Sardinia","Planeta 2010 La Segreta White (Sicilia)","White Blend","Planeta"
"659","France",93,NA,"Burgundy","Domaine d'Eugenie 2006  Clos de Vougeot","Pinot Noir","Domaine d'Eugenie"
"660","US",88,17,"California","William Hill Estate 2012 Merlot (Central Coast)","Merlot","William Hill Estate"
"661","US",83,30,"California","Opolo 2005 Maestro Red (Paso Robles)","Rhône-style Red Blend","Opolo"
"662","New Zealand",91,35,"Marlborough","Dog Point 2013 Section 94 Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Dog Point"
"663","US",81,15,"Virginia","Glass House NV Vino Signora Traminette (Monticello)","Traminette","Glass House"
"664","Portugal",93,NA,"Douro","Quinta Nova de Nossa Senhora do Carmo 2009 Grande Reserva Classico Red (Douro)","Portuguese Red","Quinta Nova de Nossa Senhora do Carmo"
"665","Portugal",88,17,"Tejo","Casal da Coelheira 2013 Reserva Red (Tejo)","Portuguese Red","Casal da Coelheira"
"666","US",86,15,"California","Adler Fels 2007 Sauvignon Blanc (Russian River Valley)","Sauvignon Blanc","Adler Fels"
"667","France",85,20,"Bordeaux","Château Laride 2012  Haut-Médoc","Bordeaux-style Red Blend","Château Laride"
"668","Italy",87,19,"Central Italy","Conte Leopardi 2012 Castelverde  (Verdicchio dei Castelli di Jesi)","Verdicchio","Conte Leopardi"
"669","US",88,40,"California","La Crema 2012 Pinot Noir (Russian River Valley)","Pinot Noir","La Crema"
"670","US",92,20,"California","Mercy 2013 Zabala Vineyard Sauvignon Blanc (Arroyo Seco)","Sauvignon Blanc","Mercy"
"671","US",89,14,"Washington","Three Rivers 2014 River's Red Wine Red (Columbia Valley (WA))","Red Blend","Three Rivers"
"672","US",91,39,"California","Burrell School Vineyards 2011 Principal's Choice Estate Reserve Pinot Noir (Santa Cruz Mountains)","Pinot Noir","Burrell School Vineyards"
"673","France",86,16,"Southwest France","Château Saint-Didier-Parnac 2013 Tradition Malbec-Merlot (Cahors)","Malbec-Merlot","Château Saint-Didier-Parnac"
"674","Portugal",96,220,"Madeira","Blandy's 1973 Verdelho (Madeira)","Verdelho","Blandy's"
"675","US",85,25,"California","Wild Coyote 2012 Red Cloud Syrah (Paso Robles)","Syrah","Wild Coyote"
"676","US",88,14,"California","Terra Sávia 2008 Reserve Chardonnay (Mendocino)","Chardonnay","Terra Sávia"
"677","France",83,15,"Bordeaux","Château Labatut 2015 Cuvée Prestige  (Bordeaux Supérieur)","Bordeaux-style Red Blend","Château Labatut"
"678","Spain",89,18,"Galicia","La Caña 2014 Albariño (Rías Baixas)","Albariño","La Caña"
"679","US",83,24,"California","Pat Paulsen Vineyards 2013 England-Shaw Vienyard Syrah (Solano County)","Syrah","Pat Paulsen Vineyards"
"680","Italy",92,39,"Sicily & Sardinia","Planeta 2005 Burdese Red (Sicilia)","Red Blend","Planeta"
"681","Italy",87,80,"Veneto","Domìni Veneti 2008 Monte  (Amarone della Valpolicella Classico)","Red Blend","Domìni Veneti"
"682","US",93,95,"California","Hartwell 1997 Sunshine Vyd Cabernet Sauvignon (Stags Leap District)","Cabernet Sauvignon","Hartwell"
"683","US",86,10,"California","Belle Ambiance 2015 Cabernet Sauvignon (California)","Cabernet Sauvignon","Belle Ambiance"
"684","US",92,75,"California","Frazier 2008 Petit Verdot (Napa Valley)","Petit Verdot","Frazier"
"685","France",88,28,"Burgundy","Château de Beauregard 2015  Saint-Véran","Chardonnay","Château de Beauregard"
"686","US",85,13,"New York","Lakewood 2007 Riesling (Finger Lakes)","Riesling","Lakewood"
"687","France",87,NA,"France Other","Domaine Campu Vecchiu 2016 Rosé (Corse)","Rosé","Domaine Campu Vecchiu"
"688","US",94,40,"California","Bonaccorsi 2008 Bien Nacido Vineyard Syrah (Santa Maria Valley)","Syrah","Bonaccorsi"
"689","France",89,15,"Beaujolais","Domaine André Collonge 2015  Beaujolais-Villages","Gamay","Domaine André Collonge"
"690","Israel",86,15,"Galilee","Recanati 2006 Kosher Syrah (Galilee)","Syrah","Recanati"
"691","Chile",87,20,"Casablanca Valley","De Martino 2015 Legado Reserva Sauvignon Blanc (Casablanca Valley)","Sauvignon Blanc","De Martino"
"692","US",96,58,"California","Williams Selyem 2011 Weir Vineyard Pinot Noir (Yorkville Highlands)","Pinot Noir","Williams Selyem"
"693","Germany",91,34,"Mittelrhein","Toni Jost 2011 Bacharacher Spätlese Feinherb Riesling (Mittelrhein)","Riesling","Toni Jost"
"694","France",85,25,"Loire Valley","François Millet 2016 Domaine des Côtes Blanches Rosé (Sancerre)","Rosé","François Millet"
"695","US",91,36,"California","j.brix 2013 Audire Kick-On Ranch Vineyard Pinot Noir (Santa Barbara County)","Pinot Noir","j.brix"
"696","New Zealand",89,14,"Marlborough","Kono 2016 Sauvignon Blanc (Marlborough)","Sauvignon Blanc","Kono"
"697","US",90,49,"Oregon","Trisaetum 2013 Coast Range Estate Pinot Noir","Pinot Noir","Trisaetum"
"698","Italy",90,25,"Northeastern Italy","Castello di Spessa 2015 Sauvignon (Collio)","Sauvignon","Castello di Spessa"
"699","Italy",87,27,"Veneto","Sartori 2004 I Saltari Le Vigne di Turano  (Valpolicella Superiore)","Corvina, Rondinella, Molinara","Sartori"
"700","France",88,65,"Champagne","Henriet-Bazin NV Premier Cru Blanc de Blancs Brut Chardonnay (Champagne)","Chardonnay","Henriet-Bazin"
"701","Italy",89,NA,"Veneto","Cantine Benedetti 2006 Corte Antica  (Amarone della Valpolicella Classico)","Corvina, Rondinella, Molinara","Cantine Benedetti"
"702","US",90,48,"Oregon","Winderlea 2011 Shea Vineyard Pinot Noir","Pinot Noir","Winderlea"
"703","Argentina",91,210,"Mendoza Province","Viña Cobos 2012 Marchiori Vineyard Block C2 Malbec (Perdriel)","Malbec","Viña Cobos"
"704","France",92,NA,"Burgundy","Bouchard Aîné & Fils 2005  Echézeaux","Pinot Noir","Bouchard Aîné & Fils"
"705","US",89,42,"Oregon","Paul O'Brien 2013 Tempranillo (Umpqua Valley)","Tempranillo","Paul O'Brien"
"706","Italy",88,25,"Piedmont","Cascina Chicco 2012 Bric Loira  (Barbera d'Alba)","Barbera","Cascina Chicco"
"707","US",85,15,"California","Rubino Estates Winery 2012 Saluté Red (Livermore Valley)","Red Blend","Rubino Estates Winery"
"708","Australia",87,21,"South Australia","Fox Creek 2014 Chardonnay (McLaren Vale)","Chardonnay","Fox Creek"
"709","Chile",86,13,"Lontué Valley","Korta 2007 Barrel Selection Reserve Cabernet Sauvignon (Lontué Valley)","Cabernet Sauvignon","Korta"
"710","Italy",89,41,"Piedmont","Barale Fratelli 2009 Serraboella  (Barbaresco)","Nebbiolo","Barale Fratelli"
"711","US",91,39,"California","Waxwing 2013 Spring Hill Vineyard Pinot Noir (Sonoma Coast)","Pinot Noir","Waxwing"
"712","France",86,9,"Southwest France","Mont Gravet 2014 Colombard (Côtes de Gascogne)","Colombard","Mont Gravet"
"713","US",89,15,"California","Brass Tacks 2012 Merlot (Central Coast)","Merlot","Brass Tacks"
"714","US",91,46,"Washington","DeLille 2014 Signature Syrah (Yakima Valley)","Syrah","DeLille"
"715","South Africa",88,41,"Stellenbosch","Hartenberg 2007 Merlot (Stellenbosch)","Merlot","Hartenberg"
"716","US",88,24,"California","Zinke 2013 Viognier (Santa Barbara County)","Viognier","Zinke"
"717","US",88,20,"California","Joseph Carr 2013 Cabernet Sauvignon (Napa County)","Cabernet Sauvignon","Joseph Carr"
"718","US",87,58,"California","Frank Family 2011 Lewis Vineyard Reserve Pinot Noir (Carneros)","Pinot Noir","Frank Family"
"719","France",85,12,"Bordeaux","Château Loumelat 2012  Bordeaux Blanc","Bordeaux-style White Blend","Château Loumelat"
"720","US",85,24,"California","Lasseter 2010 Enjoué Rosé (Sonoma Valley)","Rosé","Lasseter"
"721","Italy",89,35,"Piedmont","Rivetti Massimo 2012 Avene Nebbiolo (Langhe)","Nebbiolo","Rivetti Massimo"
"722","France",84,11,"Southwest France","Georges Vigouroux 2015 Gouleyant Malbec Rosé (Côtes du Lot)","Rosé","Georges Vigouroux"
"723","Chile",84,14,"Rapel Valley","El Toqui 2005 Reserva Carmenère (Rapel Valley)","Carmenère","El Toqui"
"724","Austria",91,27,"Wachau","Domäne Wachau 2016 Ried Liebenberg Federspiel Grüner Veltliner (Wachau)","Grüner Veltliner","Domäne Wachau"
"725","Spain",85,15,"Levante","Vicente Gandia 2016 El Miracle 120 Aniversario Shiraz-Garnacha Rosé (Valencia)","Rosé","Vicente Gandia"
"726","Italy",87,12,"Southern Italy","Matané 2011 Primitivo (Puglia)","Primitivo","Matané"
"727","US",90,35,"Washington","Camaraderie 2004 Grâce Red Red (Washington)","Red Blend","Camaraderie"
"728","South Africa",87,14,"Stellenbosch","Bradgate 2010 Sauvignon Blanc-Chenin Blanc (Stellenbosch)","Sauvignon Blanc-Chenin Blanc","Bradgate"
"729","France",94,130,"Bordeaux","Château Hosanna 2014  Pomerol","Bordeaux-style Red Blend","Château Hosanna"
"730","France",94,NA,"Bordeaux","Château Coutet 2009  Barsac","Bordeaux-style White Blend","Château Coutet"
"731","US",85,10,"California","Mandolin 2012 Chardonnay (Monterey)","Chardonnay","Mandolin"
"732","Germany",94,350,"Franken","Castell 2012 Casteller Schlossberg Eiswein Riesling (Franken)","Riesling","Castell"
"733","Argentina",93,50,"Mendoza Province","Bodega Catena Zapata 2007 Catena Alta Malbec (Mendoza)","Malbec","Bodega Catena Zapata"
"734","US",86,20,"California","Mettler Family Vineyards 2006 Epicenter Zinfandel (Lodi)","Zinfandel","Mettler Family Vineyards"
"735","Australia",86,20,"Western Australia","West Cape Howe 2008 Pinot Noir (Western Australia)","Pinot Noir","West Cape Howe"
"736","Italy",87,NA,"Sicily & Sardinia","Palmento Costanzo 2012 Nero di Sei  (Etna)","Red Blend","Palmento Costanzo"
"737","Austria",92,39,"Wagram","Anton Bauer 2015 Kreuzgang Chardonnay (Wagram)","Chardonnay","Anton Bauer"
"738","Italy",89,42,"Northeastern Italy","St. Pauls 2015 Passion Petit Manseng (Alto Adige)","Petit Manseng","St. Pauls"
"739","US",89,25,"California","Biltmore Estate 2010 Reserve Cabernet Sauvignon (Dry Creek Valley)","Cabernet Sauvignon","Biltmore Estate"
"740","France",83,11,"Bordeaux","Château Julian 2009  Bordeaux Blanc","Bordeaux-style White Blend","Château Julian"
