"track_id"	"track_artist"	"track_popularity"	"playlist_genre"	"danceability"	"energy"	"duration_ms"
"8711"	"Kaspiyskiy Gruz"	25	"rap"	0.625	0.496	224577
"31321"	"David Guetta"	68	"edm"	0.659	0.738	183750
"17288"	NA	NA	"0"	NA	NA	NA
"19821"	"J Balvin"	44	"latin"	0.689	0.675	205600
"1060"	"Sigala"	34	"pop"	0.767	0.78	203569
"7807"	"Lil' Troy"	63	"rap"	0.871	0.648	355067
"25503"	"A Tribe Called Quest"	0	"r&b"	0.853	0.402	243627
"23395"	"Fabolous"	62	"r&b"	0.646	0.6	223973
"13705"	"Snow Patrol"	77	"rock"	0.563	0.592	267933
"32696"	"Wyko"	16	"edm"	0.673	0.907	172520
"16920"	"El Chaval de la Bachata"	36	"latin"	0.85	0.748	250125
"32094"	"JETFIRE"	30	"edm"	0.621	0.925	187739
"10398"	"Rauw Alejandro"	66	"rap"	0.544	0.572	253333
"13100"	"The Who"	0	"rock"	0.655	0.739	381107
"11565"	"Peter Cetera"	71	"rock"	0.518	0.585	258120
"32547"	"W&W"	62	"edm"	0.388	0.971	156450
"9237"	"Zuna"	48	"rap"	0.837	0.692	188629
"30746"	"RL Grime"	57	"edm"	0.594	0.815	236522
"6823"	"TREN LOKOTE"	42	"rap"	0.854	0.87	235097
"3303"	"Sam Feldt"	67	"pop"	0.832	0.659	180336
"30591"	"Simon Field"	34	"edm"	0.628	0.787	199428
"61"	"SHAED"	45	"pop"	0.607	0.955	230476
"12651"	"Bamboo"	43	"rock"	0.662	0.927	270341
"10968"	"Flume"	57	"rap"	0.59	0.531	262521
"20057"	"Malow Mac"	11	"latin"	0.735	0.772	242080
"17129"	"Nexeri"	43	"latin"	0.675	0.843	208523
"18042"	"Jerau"	0	"latin"	0.662	0.936	251472
"11485"	"The Cranberries"	49	"rock"	0.578	0.358	187907
"27601"	"John De Sohn"	65	"edm"	0.603	0.649	177209
"18194"	"Carlos Vives"	38	"latin"	0.457	0.723	273515
"10656"	"3 Tenores"	39	"rap"	0.887	0.456	287603
"17565"	"Manuel Medrano"	73	"latin"	0.616	0.454	225839
"32467"	"Example"	61	"edm"	0.788	0.799	151375
"21941"	"CHASE B"	57	"r&b"	0.764	0.726	179533
"31449"	"John Newman"	0	"edm"	0.541	0.822	242026
"21424"	"Polo G"	74	"r&b"	0.506	0.45	182387
"28187"	"Dj Electrocimatic"	20	"edm"	0.729	0.865	150000
"27752"	"AronChupa"	61	"edm"	0.767	0.477	170000
"20372"	"Carlos Vives"	76	"latin"	0.742	0.858	194742
"5281"	"Two Feet"	5	"pop"	0.532	0.178	181467
"1384"	"Marshmello"	89	"pop"	0.687	0.792	214290
"22231"	"London Jae"	8	"r&b"	0.876	0.44	161881
"9949"	"Ghostemane"	50	"rap"	0.494	0.695	197077
"24235"	"Guy"	0	"r&b"	0.755	0.871	284507
"2343"	"One Direction"	77	"pop"	0.512	0.754	201693
"15872"	"In This Moment"	1	"rock"	0.604	0.883	245533
"4775"	"blackbear"	68	"pop"	0.761	0.625	200400
"31122"	"Afrojack"	0	"edm"	0.621	0.924	188134
"5781"	"Ranveer Singh"	54	"rap"	0.667	0.641	108827
"32693"	"Dimitri Vegas & Like Mike"	56	"edm"	0.716	0.971	148125
"10215"	"Siles"	50	"rap"	0.705	0.622	190658
"26045"	"D'Nell"	0	"r&b"	0.608	0.729	355880
"29948"	"Paul Kalkbrenner"	65	"edm"	0.945	0.584	168547
"2712"	"David Guetta"	67	"pop"	0.492	0.857	222500
"15086"	"Crossfade"	44	"rock"	0.434	0.877	203600
"2057"	"Lauren Sanderson"	48	"pop"	0.679	0.485	164348
"28496"	"Hardwell"	34	"edm"	0.608	0.888	193594
"7894"	"Boaz"	0	"rap"	0.689	0.779	200568
"27619"	"Kygo"	43	"edm"	0.719	0.743	212493
"12312"	"Caifanes"	48	"rock"	0.687	0.345	224840
"16856"	"Jay Fox"	34	"latin"	0.696	0.854	181772
"3138"	"XYLØ"	61	"pop"	0.835	0.505	178983
"11987"	"James Morrison"	63	"rock"	0.559	0.688	213173
"7951"	"Drake"	1	"rap"	0.79	0.54	173160
"22853"	"Sufjan Stevens"	65	"r&b"	0.571	0.172	307698
"29937"	"Asmarani"	34	"edm"	0.81	0.565	155000
"31640"	"Pete Heller"	0	"edm"	0.671	0.857	241053
"2932"	"Janelle Monáe"	39	"pop"	0.672	0.291	240426
"25627"	NA	NA	"0"	NA	NA	NA
"26949"	"ATRIP"	34	"edm"	0.641	0.922	313600
"16912"	"BlackRoy"	61	"latin"	0.714	0.853	277795
"21792"	"Jon B."	60	"r&b"	0.699	0.388	274667
