"title","distributor","gross","theaters","days","date","top"
"Pain & Gain","Paramount Pictures",2.473,35,96,2013-07-30,FALSE
"The East","Fox Searchlight",2.039,20,61,2013-07-30,FALSE
"Stories We Tell","Roadside Attrac…",0.984,14,82,2013-07-30,FALSE
"Copperhead","Brainstorm Media",0.579,2,33,2013-07-30,FALSE
"Lucy","Universal",3744.14,3173,6,2014-07-30,FALSE
"Hercules","Paramount Pictures",2614.62,3595,6,2014-07-30,FALSE
"Dawn of the Planet of the Apes","20th Century Fox",1846.187,3668,20,2014-07-30,FALSE
"Planes: Fire and Rescue","Walt Disney",1369.156,3839,13,2014-07-30,FALSE
"The Purge: Anarchy","Universal",1240.94,2856,13,2014-07-30,FALSE
"Sex Tape","Sony Pictures",809.156,3062,13,2014-07-30,FALSE
"And So It Goes","Clarius Enterta…",598.983,1762,6,2014-07-30,FALSE
"Transformers: Age of Extinction","Paramount Pictures",585.155,2476,34,2014-07-30,FALSE
"Tammy","Warner Bros.",424.152,2562,29,2014-07-30,FALSE
"How to Train Your Dragon 2","20th Century Fox",401.598,1358,48,2014-07-30,FALSE
"22 Jump Street","Sony Pictures",360.263,1613,48,2014-07-30,FALSE
"Maleficent","Walt Disney",305.987,1077,62,2014-07-30,FALSE
"Earth to Echo","Relativity",238.829,1272,29,2014-07-30,FALSE
"Boyhood","IFC Films",222.745,107,20,2014-07-30,FALSE
"Begin Again","Weinstein Co.",196.646,1244,34,2014-07-30,FALSE
"Wish I Was Here","Focus Features",140.582,625,13,2014-07-30,FALSE
"The Fluffy Movie","Open Road",121.808,432,6,2014-07-30,FALSE
"America: Imagine a World With…","Lionsgate",114.936,760,34,2014-07-30,FALSE
"Chef","Open Road",98.357,405,83,2014-07-30,FALSE
"The Fault in Our Stars","20th Century Fox",93.26,387,55,2014-07-30,FALSE
"Edge of Tomorrow","Warner Bros.",72.184,353,55,2014-07-30,FALSE
"Jersey Boys","Warner Bros.",71.47,462,41,2014-07-30,FALSE
"Island of Lemurs: Madagascar","Warner Bros.",66.417,41,118,2014-07-30,FALSE
"X-Men: Days of Future Past","20th Century Fox",57.993,289,69,2014-07-30,FALSE
"The Lego Movie","Warner Bros.",53.59,202,174,2014-07-30,FALSE
"Godzilla","Warner Bros.",51.636,302,76,2014-07-30,FALSE
"Rio 2","20th Century Fox",42.897,230,111,2014-07-30,FALSE
"Blended","Warner Bros.",33.522,223,69,2014-07-30,FALSE
"Neighbors","Universal",26.06,208,83,2014-07-30,FALSE
"I Origins","Fox Searchlight",12.248,76,13,2014-07-30,FALSE
"Belle","Fox Searchlight",9.923,58,90,2014-07-30,FALSE
"Mr. Peabody & Sherman","20th Century Fox",6.681,58,146,2014-07-30,FALSE
"The Other Woman","20th Century Fox",4.047,39,97,2014-07-30,FALSE
"Yves Saint Laurent","Weinstein Co.",2.426,8,36,2014-07-30,FALSE
"50 to 1","Ten Furlongs",2.052,5,132,2014-07-30,FALSE
"Burning Bush","",1.251,1,50,2014-07-30,FALSE
"Come Back to Me","Freestyle Relea…",1.03,10,6,2014-07-30,FALSE
"God’s Not Dead","Pure Flix Enter…",0.899,9,132,2014-07-30,FALSE
"Legends of Oz: Dorothy’s Retu…","Clarius Enterta…",0.458,6,83,2014-07-30,FALSE
"The Hornet’s Nest","Freestyle Relea…",0.2,1,83,2014-07-30,FALSE
"Minions","Universal",2820.51,4062,21,2015-07-30,TRUE
"Ant-Man","Walt Disney",2714.893,3868,14,2015-07-30,FALSE
"Vacation","Warner Bros.",2501.103,3310,2,2015-07-30,FALSE
"Pixels","Sony Pictures",2245.871,3723,7,2015-07-30,FALSE
"Trainwreck","Universal",1839.18,3171,14,2015-07-30,FALSE
"Southpaw","Weinstein Co.",1501.207,2772,7,2015-07-30,FALSE
"Paper Towns","20th Century Fox",1332.658,3031,7,2015-07-30,FALSE
"Inside Out","Walt Disney",1066.124,2484,42,2015-07-30,TRUE
"Jurassic World","Universal",779.13,2642,49,2015-07-30,TRUE
"Mr. Holmes","Miramax/Roadsid…",364.936,686,14,2015-07-30,FALSE
"Terminator: Genisys","Paramount Pictures",187.064,1702,30,2015-07-30,FALSE
"Magic Mike XXL","Warner Bros.",180.301,1440,30,2015-07-30,FALSE
"Bajrangi Bhaijaan","Eros Entertainment",110,257,14,2015-07-30,FALSE
"Max","Warner Bros.",89.597,665,35,2015-07-30,FALSE
"Ted 2","Universal",85.56,696,35,2015-07-30,FALSE
"The Vatican Tapes","Lionsgate",71.366,427,7,2015-07-30,FALSE
"The Gallows","Warner Bros.",69.571,1202,21,2015-07-30,FALSE
"Spy!","20th Century Fox",68.128,539,56,2015-07-30,FALSE
"Mad Max: Fury Road","Warner Bros.",58.562,345,77,2015-07-30,FALSE
"Home","20th Century Fox",34.21,196,126,2015-07-30,FALSE
"San Andreas","Warner Bros.",30.816,266,63,2015-07-30,FALSE
"Pitch Perfect 2","Universal",23.56,248,77,2015-07-30,FALSE
"Self/Less","Focus Features",20.078,608,21,2015-07-30,FALSE
"Dope","Open Road",18.422,115,42,2015-07-30,FALSE
"Love & Mercy","Roadside Attrac…",18.141,126,56,2015-07-30,FALSE
"I'll See You in My Dreams","Bleecker Street",15.571,103,77,2015-07-30,FALSE
"Me and Earl and the Dying Girl","Fox Searchlight",15.365,121,49,2015-07-30,FALSE
"Insidious Chapter 3","Focus Features",12.138,118,56,2015-07-30,FALSE
"Island of Lemurs: Madagascar","Warner Bros.",7.477,35,483,2015-07-30,FALSE
"The Third Man","Rialto Pictures",5.185,12,23920,2015-07-30,FALSE
"Hot Pursuit","Warner Bros.",4.768,44,84,2015-07-30,FALSE
"Entourage","Warner Bros.",4.341,103,58,2015-07-30,FALSE
"Batkid Begins: The Wish Heard…","Warner Bros.",3.232,4,35,2015-07-30,FALSE
"Woman in Gold","Weinstein Co.",3.001,33,121,2015-07-30,FALSE
"Faith of Our Fathers","Pure Flix / Sam…",1.008,17,30,2015-07-30,FALSE
"The Things of Life","Rialto Pictures",0.988,1,49,2015-07-30,FALSE
"Freetown","Purdie Distribu…",0.382,2,114,2015-07-30,FALSE
"Heaven Knows What","RADiUS-TWC",0.148,4,63,2015-07-30,FALSE
"Beyond the Mask","Freestyle Relea…",0.086,2,481,2015-07-30,FALSE
"Jason Bourne","Universal",20796.38,4026,2,2016-07-30,FALSE
"Star Trek Beyond","Paramount Pictures",9911.368,3928,9,2016-07-30,FALSE
"Bad Moms","STX Entertainment",7813.519,3215,2,2016-07-30,FALSE
"The Secret Life of Pets","Universal",7301.18,3673,23,2016-07-30,TRUE
"Ice Age: Collision Course","20th Century Fox",4204.83,3997,9,2016-07-30,FALSE
"Lights Out","Warner Bros.",4105.718,2835,9,2016-07-30,FALSE
"Ghostbusters","Sony Pictures",3996.176,3052,16,2016-07-30,FALSE
"Nerve","Lionsgate",3357.442,2538,4,2016-07-30,FALSE
"Finding Dory","Walt Disney",1642.892,1733,44,2016-07-30,TRUE
"The Legend of Tarzan","Warner Bros.",985.136,1503,30,2016-07-30,FALSE
"Hillary’s America: The Secret…","Quality Flix",958.516,1066,16,2016-07-30,FALSE
"Café Society","Lionsgate",953.599,565,16,2016-07-30,FALSE
"Mike and Dave Need Wedding Dates","20th Century Fox",562.795,1070,23,2016-07-30,FALSE
"Captain Fantastic","Bleecker Street",439.284,550,23,2016-07-30,FALSE
"Central Intelligence","Warner Bros.",378.83,652,44,2016-07-30,FALSE
"The Infiltrator","Broad Green Pic…",353.105,650,18,2016-07-30,FALSE
"Absolutely Fabulous: The Movie","Fox Searchlight",332.948,355,9,2016-07-30,FALSE
"The Purge: Election Year","Universal",306.515,510,30,2016-07-30,FALSE
"The BFG","Walt Disney",175.978,273,30,2016-07-30,FALSE
"Hunt for the Wilderpeople","The Orchard",152.322,174,37,2016-07-30,FALSE
"Independence Day: Resurgence","20th Century Fox",127.959,227,37,2016-07-30,FALSE
"The Jungle Book","Walt Disney",124.643,225,107,2016-07-30,TRUE
"Teenage Mutant Ninja Turtles:…","Paramount Pictures",89.721,170,58,2016-07-30,FALSE
"The Shallows","Sony Pictures",72.294,139,37,2016-07-30,FALSE
"The Conjuring 2: The Enfield …","Warner Bros.",67.876,244,51,2016-07-30,FALSE
"The Angry Birds Movie","Sony Pictures",58.398,178,72,2016-07-30,FALSE
"Alice Through the Looking Glass","Walt Disney",56.535,146,65,2016-07-30,FALSE
"Now You See Me 2","Lionsgate",44.391,135,51,2016-07-30,FALSE
"Me Before You","Warner Bros.",41.87,188,58,2016-07-30,FALSE
"Indignation","Roadside Attrac…",36.583,4,2,2016-07-30,FALSE
"Captain America: Civil War","Walt Disney",28.018,85,86,2016-07-30,TRUE
"Love & Friendship","Roadside Attrac…",27.026,52,79,2016-07-30,FALSE
"League of Gods","Sony Pictures",26.615,54,2,2016-07-30,FALSE
"Gleason","Open Road",26.089,9,2,2016-07-30,FALSE
"The Lobster","A24",21.845,33,128,2016-07-30,FALSE
"The Music of Strangers: Yo Yo…","The Orchard",14.996,50,51,2016-07-30,FALSE
"Swiss Army Man","A24",10.032,33,37,2016-07-30,FALSE
"Our Kind of Traitor","Roadside Attrac…",9.485,33,30,2016-07-30,FALSE
"The Nice Guys","Warner Bros.",9.049,44,72,2016-07-30,FALSE
"Life, Animated","The Orchard",5.502,23,30,2016-07-30,FALSE
"Money Monster","Sony Pictures",3.664,14,79,2016-07-30,FALSE
"Phantom Boy","GKIDS",3.368,15,16,2016-07-30,FALSE
"Zootopia","Walt Disney",2.639,24,149,2016-07-30,TRUE
"The Neon Demon","Broad Green Pic…",2.006,6,37,2016-07-30,FALSE
"Under the Sun (2016)","Icarus Films",1.36,4,25,2016-07-30,FALSE
"Genius","Roadside Attrac…",1.091,11,51,2016-07-30,FALSE
"Saturday’s Warrior","Purdie Distribu…",0.262,2,121,2016-07-30,FALSE
"Dunkirk","Warner Bros.",7530.839,3748,10,2017-07-30,FALSE
"The Emoji Movie","Sony Pictures",5785.456,4075,3,2017-07-30,FALSE
"Girls Trip","Universal",5457.51,2648,10,2017-07-30,FALSE
"Atomic Blonde","Focus Features",4596.31,3304,3,2017-07-30,FALSE
"Spider-Man: Homecoming","Sony Pictures",3806.753,3625,24,2017-07-30,TRUE
"War for the Planet of the Apes","20th Century Fox",3179.551,3374,17,2017-07-30,FALSE
"Despicable Me 3","Universal",2085.67,3030,31,2017-07-30,FALSE
"Valerian and the City of a Th…","STX Entertainment",1875.376,3553,10,2017-07-30,FALSE
"Baby Driver","Sony Pictures",1128.481,1961,33,2017-07-30,FALSE
"Wonder Woman","Warner Bros.",895.721,1651,59,2017-07-30,TRUE
"The Big Sick","Lionsgate",775.123,1589,38,2017-07-30,FALSE
"Cars 3","Walt Disney",284.218,861,45,2017-07-30,FALSE
"Transformers: The Last Knight","Paramount Pictures",170.388,538,40,2017-07-30,FALSE
"Mubarakan","Sony Pictures",102.837,128,3,2017-07-30,FALSE
"A Ghost Story","A24",100.236,329,24,2017-07-30,FALSE
"Detroit","Annapurna Pictures",91.917,20,3,2017-07-30,FALSE
"Captain Underpants: The First…","20th Century Fox",87.143,267,59,2017-07-30,FALSE
"Guardians of the Galaxy Vol 2","Walt Disney",72.279,231,87,2017-07-30,TRUE
"Pirates of the Caribbean: Dea…","Walt Disney",60.041,210,66,2017-07-30,FALSE
"47 Meters Down","Entertainment S…",54.964,240,45,2017-07-30,FALSE
"The Mummy","Universal",51.64,184,52,2017-07-30,FALSE
"Lady Macbeth","Roadside Attrac…",49.935,104,17,2017-07-30,FALSE
"The House","Warner Bros.",48.775,225,31,2017-07-30,FALSE
"The Beguiled","Focus Features",26.08,144,38,2017-07-30,FALSE
"The Boss Baby","20th Century Fox",25.668,149,122,2017-07-30,FALSE
"Menashe","A24",23.642,3,3,2017-07-30,FALSE
"An Inconvenient Sequel","Paramount Vantage",20.714,4,3,2017-07-30,FALSE
"The Hero","The Orchard",19.61,106,52,2017-07-30,FALSE
"Beatriz at Dinner","Roadside Attrac…",17.42,77,52,2017-07-30,FALSE
"All Eyez on Me","Lionsgate",16.364,94,45,2017-07-30,FALSE
"Alien: Covenant","20th Century Fox",14.104,98,73,2017-07-30,FALSE
"Megan Leavey","Bleecker Street",8.754,46,52,2017-07-30,FALSE
"Jagga Jasoos","UTV Communications",5.982,31,17,2017-07-30,FALSE
"Rough Night","Sony Pictures",4.979,46,45,2017-07-30,FALSE
"The Exception","A24",4.658,11,59,2017-07-30,FALSE
"Gifted","Fox Searchlight",3.601,21,115,2017-07-30,FALSE
"Diary of a Wimpy Kid: The Lon…","20th Century Fox",3.517,36,73,2017-07-30,FALSE
"It Comes at Night","A24",3.305,23,52,2017-07-30,FALSE
"The Last Dalai Lama?","Matson",3.124,4,24,2017-07-30,FALSE
"Smurfs: The Lost Village","Sony Pictures",2.749,27,115,2017-07-30,FALSE
"The B-Side","Neon",1.891,21,31,2017-07-30,FALSE
"My Cousin Rachel","Fox Searchlight",1.394,16,52,2017-07-30,FALSE
"The Wedding Plan","Roadside Attrac…",0.589,8,80,2017-07-30,FALSE
"Love, Kennedy","Purdie Distribu…",0.52,17,59,2017-07-30,FALSE
"The Girl Without Hands","GKIDS",0.317,1,10,2017-07-30,FALSE
"Mission: Impossible—Fallout","Paramount Pictures",6838.935,4386,4,2018-07-30,FALSE
"Mamma Mia: Here We Go Again!","Universal",2602.225,3514,11,2018-07-30,FALSE
"Hotel Transylvania 3: Summer …","Sony Pictures",1870.542,4005,18,2018-07-30,FALSE
"The Equalizer 2","Sony Pictures",1575.933,3388,11,2018-07-30,FALSE
"Ant-Man and the Wasp","Walt Disney",1278.835,3013,25,2018-07-30,FALSE
"Teen Titans Go! To The Movies","Warner Bros.",1189.426,3188,4,2018-07-30,FALSE
"Incredibles 2","Walt Disney",1147.888,2616,46,2018-07-30,TRUE
"Jurassic World: Fallen Kingdom","Universal",930.91,2685,39,2018-07-30,TRUE
"Skyscraper","Universal",701.28,2773,18,2018-07-30,FALSE
"The First Purge","Universal",361.84,1400,27,2018-07-30,FALSE
"Unfriended: Dark Web","OTL Releasing",279.01,1547,*,2018-07-30,FALSE
"Sorry to Bother You","Annapurna Pictures",196.626,802,25,2018-07-30,FALSE
"Eighth Grade","A24",184.749,158,18,2018-07-30,FALSE
"Blindspotting","Lionsgate",170.677,523,11,2018-07-30,FALSE
"Three Identical Strangers","Neon",165.114,433,32,2018-07-30,FALSE
"Won’t You Be My Neighbor?","Focus Features",113.905,464,53,2018-07-30,FALSE
"Ocean’s 8","Warner Bros.",102.85,518,53,2018-07-30,FALSE
"Sicario: Day of the Soldado","Sony Pictures",85.173,574,32,2018-07-30,FALSE
"Uncle Drew","Lionsgate",75.039,532,32,2018-07-30,FALSE
"Leave No Trace","Bleecker Street",62.018,289,32,2018-07-30,FALSE
"Avengers: Infinity War","Walt Disney",61.889,292,95,2018-07-30,TRUE
"Don’t Worry, He Won’t Get Far…","Amazon Studios",48.736,266,18,2018-07-30,FALSE
"Tag","Warner Bros.",45.011,308,46,2018-07-30,FALSE
"Deadpool 2","20th Century Fox",39.21,267,74,2018-07-30,TRUE
"Solo: A Star Wars Story","Walt Disney",23.985,165,67,2018-07-30,FALSE
"Hereditary","A24",21.553,127,53,2018-07-30,FALSE
"A Quiet Place","Paramount Pictures",19.582,158,116,2018-07-30,FALSE
"McQueen","Bleecker Street",15.012,5,11,2018-07-30,FALSE
"Book Club","Paramount Pictures",14.753,145,74,2018-07-30,FALSE
"Sanju","20th Century Fox",7.522,44,32,2018-07-30,FALSE
"Life of the Party","Warner Bros.",5.027,72,81,2018-07-30,FALSE
"Whitney","Roadside Attrac…",4.957,39,25,2018-07-30,FALSE
"Adrift","STX Entertainment",4.367,75,60,2018-07-30,FALSE
"Running for Grace","Blue Fox Entert…",2.937,3,12,2018-07-30,FALSE
"First Reformed","A24",2.874,10,74,2018-07-30,FALSE
"The Catcher Was A Spy","IFC Films",2.038,23,39,2018-07-30,FALSE
"Superfly","Sony Pictures",1.341,21,48,2018-07-30,FALSE
"Far From the Tree","Sundance Selects",1.153,3,*,2018-07-30,FALSE
"American Animals","The Orchard",1.07,20,60,2018-07-30,FALSE
"Black Panther","Walt Disney",0.404,15,165,2018-07-30,TRUE
"Summer of 67","Self Distributed",0.055,1,32,2018-07-30,FALSE
"The Lion King","Walt Disney",15218.959,4725,12,2019-07-30,TRUE
"Once Upon a Time…in Hollywood","Sony Pictures",5671.627,3659,5,2019-07-30,FALSE
"Spider-Man: Far From Home","Sony Pictures",2708.709,3851,29,2019-07-30,TRUE
"Toy Story 4","Walt Disney",2315.567,3610,40,2019-07-30,TRUE
"Crawl","Paramount Pictures",865.175,2720,19,2019-07-30,FALSE
"Aladdin","Walt Disney",754.536,1798,68,2019-07-30,TRUE
"Yesterday","Universal",673.16,2550,33,2019-07-30,FALSE
"Stuber","20th Century Fox",397.882,2150,19,2019-07-30,FALSE
"The Secret Life of Pets 2","Universal",324.06,1001,54,2019-07-30,FALSE
"Annabelle Comes Home","Warner Bros.",320.296,1287,35,2019-07-30,FALSE
"The Farewell","A24",231.51,135,19,2019-07-30,FALSE
"Midsommar","A24",161.402,626,28,2019-07-30,FALSE
"Avengers: Endgame","Walt Disney",154.435,580,96,2019-07-30,TRUE
"Rocketman","Paramount Pictures",101.754,518,61,2019-07-30,FALSE
"John Wick: Chapter 3 — Parabe…","Lionsgate",79.348,426,75,2019-07-30,FALSE
"The Art of Self-Defense","Bleecker Street",69.128,550,19,2019-07-30,FALSE
"Men in Black: International","Sony Pictures",60.52,343,47,2019-07-30,FALSE
"Booksmart","Annapurna Pictures",55.749,555,68,2019-07-30,FALSE
"Godzilla: King of the Monsters","Warner Bros.",43.636,238,61,2019-07-30,FALSE
"The Fighting Preacher","Purdie Distribu…",35.046,28,7,2019-07-30,FALSE
"Pavarotti","CBS Films",25.86,135,54,2019-07-30,FALSE
"Pokémon: Detective Pikachu","Warner Bros.",23.034,155,82,2019-07-30,FALSE
"Marianne & Leonard: Words of …","Roadside Attrac…",22.594,83,26,2019-07-30,FALSE
"The Last Black Man in San Fra…","A24",22.058,114,54,2019-07-30,FALSE
"Echo in the Canyon","Greenwich",21.447,118,68,2019-07-30,FALSE
"Dark Phoenix","20th Century Fox",18.882,145,54,2019-07-30,FALSE
"Child’s Play","Orion Pictures",17.973,125,40,2019-07-30,FALSE
"Shaft","Warner Bros.",17.058,153,47,2019-07-30,FALSE
"The Other Side of Heaven 2: F…","ArtAffects",16.586,33,33,2019-07-30,FALSE
"Wild Rose","Neon",15.773,144,40,2019-07-30,FALSE
"Late Night","Amazon Studios",13.271,118,54,2019-07-30,FALSE
"Sword of Trust","IFC Films",6.69,44,19,2019-07-30,FALSE
"The Biggest Little Farm","Neon",6.578,61,82,2019-07-30,FALSE
"Anna","Lionsgate",5.974,44,40,2019-07-30,FALSE
"Bethany Hamilton: Unstoppable","Entertainment S…",5.202,63,19,2019-07-30,FALSE
"Honeyland","Neon",3.469,2,5,2019-07-30,FALSE
"Dumbo","Walt Disney",3.446,45,124,2019-07-30,FALSE
"Unplanned","Pure Flix Enter…",1.879,15,124,2019-07-30,FALSE
"Hampstead","IFC Films",1.628,10,47,2019-07-30,FALSE
"Halston","1091 Media",1.38,1,68,2019-07-30,FALSE
"Free Trip to Egypt","The Orchard",0.952,2,61,2019-07-30,FALSE
"Meeting Gorbachev","1091 Media",0.663,4,89,2019-07-30,FALSE
"Three Peaks","Greenwich",0.387,7,33,2019-07-30,FALSE
